Image,Cluster
/Users/kater/HauntedImages_8000/haunted_8119.png,0
/Users/kater/HauntedImages_8000/haunted_8120.png,2
/Users/kater/HauntedImages_8000/haunted_8121.png,2
/Users/kater/HauntedImages_8000/haunted_8122.png,0
/Users/kater/HauntedImages_8000/haunted_8123.png,0
/Users/kater/HauntedImages_8000/haunted_8124.png,2
/Users/kater/HauntedImages_8000/haunted_8125.png,2
/Users/kater/HauntedImages_8000/haunted_8126.png,0
/Users/kater/HauntedImages_8000/haunted_8127.png,0
/Users/kater/HauntedImages_8000/haunted_8128.png,0
/Users/kater/HauntedImages_8000/haunted_8130.png,2
/Users/kater/HauntedImages_8000/haunted_8131.png,0
/Users/kater/HauntedImages_8000/haunted_8132.png,2
/Users/kater/HauntedImages_8000/haunted_8133.png,0
/Users/kater/HauntedImages_8000/haunted_8134.png,1
/Users/kater/HauntedImages_8000/haunted_8135.png,0
/Users/kater/HauntedImages_8000/haunted_8136.png,0
/Users/kater/HauntedImages_8000/haunted_8137.png,0
/Users/kater/HauntedImages_8000/haunted_8138.png,0
/Users/kater/HauntedImages_8000/haunted_8139.png,0
/Users/kater/HauntedImages_8000/haunted_8140.png,2
/Users/kater/HauntedImages_8000/haunted_8141.png,1
/Users/kater/HauntedImages_8000/haunted_8142.png,2
/Users/kater/HauntedImages_8000/haunted_8143.png,0
/Users/kater/HauntedImages_8000/haunted_8144.png,0
/Users/kater/HauntedImages_8000/haunted_8145.png,0
/Users/kater/HauntedImages_8000/haunted_8146.png,0
/Users/kater/HauntedImages_8000/haunted_8147.png,0
/Users/kater/HauntedImages_8000/haunted_8148.png,1
/Users/kater/HauntedImages_8000/haunted_8149.png,2
/Users/kater/HauntedImages_8000/haunted_8150.png,2
/Users/kater/HauntedImages_8000/haunted_8151.png,1
/Users/kater/HauntedImages_8000/haunted_8152.png,0
/Users/kater/HauntedImages_8000/haunted_8153.png,2
/Users/kater/HauntedImages_8000/haunted_8154.png,2
/Users/kater/HauntedImages_8000/haunted_8155.png,0
/Users/kater/HauntedImages_8000/haunted_8156.png,2
/Users/kater/HauntedImages_8000/haunted_8157.png,0
/Users/kater/HauntedImages_8000/haunted_8158.png,0
/Users/kater/HauntedImages_8000/haunted_8159.png,0
/Users/kater/HauntedImages_8000/haunted_8160.png,1
/Users/kater/HauntedImages_8000/haunted_8161.png,0
/Users/kater/HauntedImages_8000/haunted_8162.png,2
/Users/kater/HauntedImages_8000/haunted_8163.png,0
/Users/kater/HauntedImages_8000/haunted_8164.png,0
/Users/kater/HauntedImages_8000/haunted_8165.png,2
/Users/kater/HauntedImages_8000/haunted_8167.png,2
